imie,nazwisko,płeć,wiek,waga(kg),wzorst (cm)
Lenna,Youngman,1,17,67.2,121.43
Hector,Scoggins,1,21,52.92,140.89
Selena,Rontree,1,48,65.39,198.0
Tate,Clowney,1,70,69.54,155.7
Cordie,Whitebrook,1,48,125.16,163.93
Jo-anne,Boddymead,1,44,78.87,141.0
Jedd,Arndell,1,30,58.93,146.63
Atalanta,Dean,1,36,125.76,190.25
Jacynth,Trowill,0,35,73.2,191.15
Alma,Walkowski,0,57,115.65,194.82
Alikee,Dutt,0,61,61.65,195.73
Oliy,Kirvin,1,38,128.81,198.09
Jaquelin,Englefield,0,25,66.02,121.56
Conney,Gloucester,1,45,78.38,170.79
Penn,Syvret,1,30,128.66,130.62
Kristi,Buckoke,0,56,76.24,169.06
Nikki,McRill,1,80,51.32,190.64
Deanna,Lardeux,1,22,70.58,139.38
Axel,Longlands,1,57,72.9,156.68
Ermina,Oxborough,0,52,50.33,174.76
Stearne,Tackley,1,27,63.34,196.62
Adella,Dansie,1,61,84.84,126.09
Godfrey,Nowlan,1,62,61.16,129.64
Aluino,Hunnable,1,61,71.24,171.49
Georgianna,Sherrell,0,30,126.77,152.3
Gwenette,Oxtiby,1,56,96.89,151.19
Barbabas,Climer,0,77,108.38,142.82
Belita,Lintall,1,10,129.5,196.38
Maddie,Ritchard,0,73,91.0,195.06
Carley,Hawke,0,67,101.95,163.6
Sibby,Dady,0,61,78.04,165.8
Annabelle,Rozenzweig,1,46,95.06,170.6
Marena,Matthewes,0,78,88.53,136.97
Vic,Spellacy,0,66,78.53,157.36
Felike,Benstead,0,16,112.59,173.17
Merilee,Parlour,1,79,129.65,182.23
Siward,Petrasek,0,34,121.1,121.92
June,Perassi,1,53,71.33,134.43
Madge,Leddy,0,60,82.62,174.09
Claudia,Hannigan,0,62,53.12,158.81
Shae,Lepope,1,56,115.63,165.98
Law,Cartmell,0,54,91.65,163.99
Fields,Bertwistle,0,29,50.72,160.62
Aprilette,Bernocchi,0,77,65.22,136.39
